date,Trade_id,name,trade_type,token,time,exchange,tradingsymbol,quantity,strike_price,market_price,trigger_price,num_sl_hits,status,trns_id,gap,expiry_date,unique_order_id,text,producttype
2024-04-03,_call_0,NIFTY,normal_sell,45771,09:50,NFO,,50,2240000.0,48.9,48.9,0,complete,0300012ANKN1226,5000,2024-04-04,0300012ANKN1226,,INTRADAY
2024-04-03,_put_0,NIFTY,normal_sell,45767,09:50,NFO,,50,2235000.0,77.05,77.05,0,complete,0300013ANKN1226,5000,2024-04-04,0300013ANKN1226,,INTRADAY
2024-04-03,_call_SL_0,NIFTY,stoploss_buy,45771,09:50,NFO,,50,2240000.0,130.95,125.95,0,complete,0300014ANKN1226,5000,2024-04-04,0300014ANKN1226,,INTRADAY
2024-04-03,_put_SL_0,NIFTY,stoploss_buy,45767,09:50,NFO,,50,2235000.0,130.95,125.95,0,trigger pending,0300015ANKN1226,5000,2024-04-04,0300015ANKN1226,,INTRADAY
2024-04-03,_call_0,NIFTY,normal_sell,45771,09:55,NFO,,50,2240000.0,53.6,53.6,0,complete,0300016ANKN1226,5000,2024-04-04,0300016ANKN1226,,INTRADAY
2024-04-03,_put_0,NIFTY,normal_sell,45767,09:55,NFO,,50,2235000.0,71.1,71.1,0,complete,0300017ANKN1226,5000,2024-04-04,0300017ANKN1226,,INTRADAY
2024-04-03,_call_SL_0,NIFTY,stoploss_buy,45771,09:55,NFO,,50,2240000.0,129.7,124.7,0,complete,0300018ANKN1226,5000,2024-04-04,0300018ANKN1226,,INTRADAY
2024-04-03,_put_SL_0,NIFTY,stoploss_buy,45767,09:55,NFO,,50,2235000.0,129.7,124.7,0,trigger pending,0300019ANKN1226,5000,2024-04-04,0300019ANKN1226,,INTRADAY
2024-04-03,_call_0,NIFTY,normal_sell,45771,10:00,NFO,,50,2240000.0,51.0,51.0,0,trigger pending,0300022ANKN1226,5000,2024-04-04,0300022ANKN1226,,INTRADAY
2024-04-03,_put_0,NIFTY,normal_sell,45767,10:00,NFO,,50,2235000.0,71.9,71.9,0,complete,0300023ANKN1226,5000,2024-04-04,0300023ANKN1226,,INTRADAY
2024-04-03,_call_SL_0,NIFTY,stoploss_buy,45771,10:00,NFO,,50,2240000.0,127.9,122.9,0,complete,0300024ANKN1226,5000,2024-04-04,0300024ANKN1226,,INTRADAY
2024-04-03,_put_SL_0,NIFTY,stoploss_buy,45767,10:00,NFO,,50,2235000.0,127.9,122.9,0,trigger pending,0300025ANKN1226,5000,2024-04-04,0300025ANKN1226,,INTRADAY
2024-04-03,_call_0,NIFTY,normal_sell,45781,10:05,NFO,,50,2245000.0,62.35,62.35,0,complete,0300026ANKN1226,5000,2024-04-04,0300026ANKN1226,,INTRADAY
2024-04-03,_put_0,NIFTY,normal_sell,45780,10:05,NFO,,50,2240000.0,70.25,70.25,0,complete,0300027ANKN1226,5000,2024-04-04,0300027ANKN1226,,INTRADAY
